Player,Rating,Goals+Assist,Salaries(euros),Age,Cluster
Rodri,8.12,17.0,13764697,28,2
Bukayo Saka,7.97,25.0,12200527,23,2
Phil Foden,7.83,27.0,14077531,24,2
Bruno Fernandes,7.83,18.0,15016033,30,2
Cole Palmer,7.78,33.0,5005344,22,2
Michael Olise,7.71,16.0,6256681,23,2
Declan Rice,7.66,15.0,15016033,25,2
Bruno Guimaraes,7.65,15.0,8320000,27,2
Erling Haaland,7.64,32.0,23462552,24,2
Mohamed Salah,7.64,28.0,21898382,32,2
Martin Ødegaard,7.64,18.0,15016033,26,2
Eberechi Eze,7.6,15.0,6256681,26,2
James Maddison,7.59,13.0,10636357,28,2
Bernardo Silva,7.57,15.0,18770042,30,2
Trent Alexander-Arnold,7.57,7.0,11262025,26,2
Josko Gvardiol,7.53,5.0,12513361,22,2
Anthony Gordon,7.51,21.0,3754008,23,2
Alexis Mac Allister,7.51,10.0,9385021,26,2
Conor Gallagher,7.5,12.0,3128340,24,2
Heung-Min Son,7.5,27.0,9880000,32,2
Andrew Robertson,7.48,5.0,10010689,30,1
Julián Álvarez,7.47,20.0,6256681,24,2
Pascal Gross,7.47,14.0,3380000,33,2
Ollie Watkins,7.4,32.0,8133685,29,2
Mohammed Kudus,7.39,14.0,5631013,24,2
Virgil van Dijk,7.39,4.0,13764697,33,1
Pedro Porro,7.38,10.0,5318178,25,2
James Ward-Prowse,7.37,14.0,7195183,30,2
Alexander Isak,7.37,23.0,7508017,25,2
Kyle Walker,7.36,4.0,10949191,34,1
Kieran Trippier,7.35,11.0,7508017,34,1
Cristian Romero,7.32,5.0,10323523,26,0
Ross Barkley,7.32,9.0,1877004,31,1
Jérémy Doku,7.32,11.0,3128340,22,2
Manuel Akanji,7.31,2.0,11262025,29,1
Lucas Paquetá,7.31,10.0,9385021,27,2
Luis Diaz,7.31,13.0,2860000,27,2
Pedro Neto,7.3,11.0,3128340,24,2
Kai Havertz,7.3,20.0,17518706,25,2
Matheus Cunha,7.29,19.0,3754008,25,2
