Player,Rating,Goals+Assist,Goals+Assists
Rodri,8.12,,17
Bukayo Saka,7.97,,25
Phil Foden,7.83,,27
Bruno Fernandes,7.83,,18
Cole Palmer,7.78,,33
Michael Olise,7.71,,16
Declan Rice,7.66,,15
Bruno Guimaraes,7.65,,15
Erling Haaland,7.64,,32
Mohamed Salah,7.64,,28
Martin Ødegaard,7.64,,18
Eberechi Eze,7.60,,15
James Maddison,7.59,,13
Bernardo Silva,7.57,,15
Trent Alexander-Arnold,7.57,,7
Josko Gvardiol,7.53,,5
Anthony Gordon,7.51,,21
Alexis Mac Allister,7.51,,10
Conor Gallagher,7.50,,12
Heung-Min Son,7.5,,27
Andrew Robertson,7.48,,5
Julián Álvarez,7.47,,20
Pascal Gross,7.47,,14
Ollie Watkins,7.40,,32
Mohammed Kudus,7.39,,14
Virgil van Dijk,7.39,,4
Pedro Porro,7.38,,10
James Ward-Prowse,7.37,,14
Alexander Isak,7.37,,23
Kyle Walker,7.36,,4
Kieran Trippier,7.35,,11
Cristian Romero,7.32,,5
Ross Barkley,7.32,,9
Jérémy Doku,7.32,,11
Manuel Akanji,7.31,,2
Lucas Paquetá,7.31,,10
Luis Diaz,7.31,,13
Pedro Neto,7.30,,11
Kai Havertz,7.30,,20
Matheus Cunha,7.29,,19
Dominik Szoboszlai,7.28,,5
Ben White,7.28,,8
Douglas Luiz,7.28,,14
Nathan Aké,7.27,,4
William Saliba,7.27,,3
Christian Nørgaard,7.26,,3
Diogo Jota,7.25,,13
Jarrod Bowen,7.25,,22
Morgan Gibbs-White,7.24,,15
Idrissa Gana Gueye,7.24,,4
Bryan Mbeumo,7.23,,15
Kaoru Mitoma,7.23,,7
Gabriel,7.22,,4
Oleksandr Zinchenko,7.22,,3
Diogo Dalot,7.20,,5
Marcos Senesi,7.20,,9
John McGinn,7.19,,10
Mario Lemina,7.18,,5
Harry Maguire,7.18,,4
Nicolas Jackson,7.18,,19
Antonee Robinson,7.17,,6
Alfie Doughty,7.16,,10
Ibrahima Konaté,7.16,,0.5
Casemiro,7.16,,3
Dwight McNeil,7.16,,9
Darwin Nunez,7.16,,19
Jefferson Lerma,7.15,,2
Joao Palhinha,7.15,,5
James Garner,7.15,,3
Leon Bailey,7.14,,19
Ruben Dias,7.14,,0.5
Josh Cullen,7.13,,5
Malo Gusto,7.13,,6
James Tarkowski,7.13,,2
Jarrad Branthwaite,7.12,,3
Dejan Kulusevski,7.12,,11
Micky van de Ven,7.12,,3
Sergio Reguilon,7.12,,4
Chiedozie Ogbene,7.10,,5
Levi Colwill,7.10,,2
Lewis Cook,7.10,,3
Noni Madueke,7.10,,7
Gabriel Martinelli,7.09,,10
Alejandro Garnacho,7.09,,11
Destiny Udogie,7.09,,5
Mateo Kovacic,7.09,,1
Simon Adingra,7.09,,7
Pape Sarr,7.08,,6
Brennan Johnson,7.08,,15
Marcus Tavernier,7.08,,7
Vitaly Janelt,7.08,,4
Ryan Christie,7.08,,5
Yoane Wissa,7.07,,15
Tyrick Mitchell,7.07,,5
Willy Boly,7.07,,3
Vitalii Mykolenko,7.06,,2
Alex Iwobi,7.06,,7
Yves Bissouma,7.06,,0.5
Boubacar Kamara,7.06,,1
Joao Pedro,7.06,,12
Dominic Solanke,7.05,,22
Harvey Elliott,7.05,,9
Jan Paul van Hecke,7.05,,0.5
Moisés Caicedo,7.05,,4
Callum Hudson-Odoi,7.04,,9
Amadou Onana,7.04,,2
Aaron Wan-Bissaka,7.03,,2
Cody Gakpo,7.03,,13
Joachim Andersen,7.03,,5
Hee-Chan Hwang,7.02,,15
Gustavo Hamer,7.01,,10
Thiago Silva,7.01,,4
Abdoulaye Doucouré,7.01,,9
Leandro Trossard,7.01,,13
Jordan Ayew,7.00,,11
Gabriel Jesus,7.00,,9
Joao Gomes,6.99,,3
Enzo Fernández,6.99,,5
Willian,6.99,,6
Richarlison,6.99,,15
Joelinton,6.99,,3
Sean Longstaff,6.98,,8
Youri Tielemans,6.98,,8
Joseph Gomez,6.98,,1
Marcus Rashford,6.98,,9
Pablo Sarabia,6.98,,11
Marc Cucurella,6.97,,2
Raheem Sterling,6.97,,12
Rayan Ait Nouri,6.97,,3
Josh Brownhill,6.97,,6
Wataru Endo,6.96,,1
Mathias Jensen,6.95,,6
Kobbie Mainoo,6.95,,4
Jean-Philippe Mateta,6.95,,21
Tomas Soucek,6.95,,9
Emerson,6.94,,3
Guglielmo Vicario,6.94,,0.5
Mykhaylo Mudryk,6.94,,7
Alphonse Areola,6.94,,0.5
Jordan Pickford,6.94,,0.5
Nicolás Dominguez,6.93,,4
Ederson Moraes,6.93,,0.5
Nélson Semedo,6.93,,1
Ethan Pinnock,6.93,,2
Pau Torres,6.93,,2
Lewis Dunk,6.91,,4
Chris Wood,6.91,,15
Luis Sinisterra,6.91,,4
Ola Aina,6.91,,2
Daniel Burn,6.90,,4
Emiliano Martinez,6.90,,0.5
Max Kilman,6.90,,2
Toti Gomes,6.90,,4
Andreas Pereira,6.89,,10
Igor,6.89,,0.5
Moussa Diaby,6.89,,14
Anthony Elanga,6.89,,14
David Raya,6.88,,0.5
Tom Cairney,6.88,,5
Antoine Semenyo,6.88,,10
Sander Berge,6.88,,3
Scott McTominay,6.88,,8
Craig Dawson,6.87,,2
Timothy Castagne,6.86,,4
Andre Onana,6.86,,0.5
Wilson Odobert,6.86,,5
Lucas Digne,6.86,,4
Jonny Evans,6.85,,1
Neco Williams,6.85,,1
Fabian Schär,6.85,,5
Jack Harrison,6.85,,6
Ezri Konsa,6.85,,1
Miguel Almiron,6.84,,4
Chris Richards,6.84,,2
Axel Disasi,6.84,,2
Rodrigo Muniz,6.84,,10
Antony,6.84,,2
Rasmus Højlund,6.83,,12
Takehiro Tomiyasu,6.83,,3
Edson Álvarez,6.83,,2
Danilo,6.82,,4
Vinicius de Souza Costa,6.82,,1
Ryan Gravenberch,6.81,,1
Oliver Norwood,6.81,,1
Harry Wilson,6.80,,10
Dominic Calvert-Lewin,6.80,,9
Marc Guehi,6.79,,1
Dango Ouattara,6.79,,3
Harvey Barnes,6.79,,8
Oliver McBurnie,6.7,,9
Calvin Bassey,6.79,,1
Murillo,6.78,,2
Will Hughes,6.78,,1
Danny Welbeck,6.77,,6
Carlton Morris,6.77,,15
Matty Cash,6.77,,4
Raphaël Varane,6.76,,1
Billy Gilmour,6.75,,1
