Player,Rating
Rodri,8.12
Bukayo Saka,7.97
Phil Foden,7.83
Bruno Fernandes,7.83
Cole Palmer,7.78
Michael Olise,7.71
Declan Rice,7.66
Bruno Guimaraes,7.65
Erling Haaland,7.64
Mohamed Salah,7.64
Martin Ødegaard,7.64
Eberechi Eze,7.60
James Maddison,7.59
Bernardo Silva,7.57
Trent Alexander-Arnold,7.57
Josko Gvardiol,7.53
Anthony Gordon,7.51
Alexis Mac Allister,7.51
Conor Gallagher,7.50
Heung-Min Son,7.5
Andrew Robertson,7.48
Julián Álvarez,7.47
Pascal Gross,7.47
Ollie Watkins,7.40
Mohammed Kudus,7.39
Virgil van Dijk,7.39
Pedro Porro,7.38
James Ward-Prowse,7.37
Alexander Isak,7.37
Kyle Walker,7.36
Kieran Trippier,7.35
Cristian Romero,7.32
Ross Barkley,7.32
Jérémy Doku,7.32
Manuel Akanji,7.31
Lucas Paquetá,7.31
Luis Diaz,7.31
Pedro Neto,7.30
Kai Havertz,7.30
Matheus Cunha,7.29
Dominik Szoboszlai,7.28
Ben White,7.28
Douglas Luiz,7.28
Nathan Aké,7.27
William Saliba,7.27
Christian Nørgaard,7.26
Diogo Jota,7.25
Jarrod Bowen,7.25
Morgan Gibbs-White,7.24
Idrissa Gana Gueye,7.24
Bryan Mbeumo,7.23
Kaoru Mitoma,7.23
Gabriel,7.22
Oleksandr Zinchenko,7.22
Diogo Dalot,7.20
Marcos Senesi,7.20
John McGinn,7.19
Mario Lemina,7.18
Harry Maguire,7.18
Nicolas Jackson,7.18
Antonee Robinson,7.17
Alfie Doughty,7.16
Ibrahima Konaté,7.16
Casemiro,7.16
Dwight McNeil,7.16
Darwin Nunez,7.16
Jefferson Lerma,7.15
Joao Palhinha,7.15
James Garner,7.15
Leon Bailey,7.14
Ruben Dias,7.14
Josh Cullen,7.13
Malo Gusto,7.13
James Tarkowski,7.13
Jarrad Branthwaite,7.12
Dejan Kulusevski,7.12
Micky van de Ven,7.12
Sergio Reguilon,7.12
Chiedozie Ogbene,7.10
Levi Colwill,7.10
Lewis Cook,7.10
Noni Madueke,7.10
Gabriel Martinelli,7.09
Alejandro Garnacho,7.09
Destiny Udogie,7.09
Mateo Kovacic,7.09
Simon Adingra,7.09
Pape Sarr,7.08
Brennan Johnson,7.08
Marcus Tavernier,7.08
Vitaly Janelt,7.08
Ryan Christie,7.08
Yoane Wissa,7.07
Tyrick Mitchell,7.07
Willy Boly,7.07
Vitalii Mykolenko,7.06
Alex Iwobi,7.06
Yves Bissouma,7.06
Boubacar Kamara,7.06
Joao Pedro,7.06
Dominic Solanke,7.05
Harvey Elliott,7.05
Jan Paul van Hecke,7.05
Moisés Caicedo,7.05
Callum Hudson-Odoi,7.04
Amadou Onana,7.04
Aaron Wan-Bissaka,7.03
Cody Gakpo,7.03
Joachim Andersen,7.03
Hee-Chan Hwang,7.02
Gustavo Hamer,7.01
Thiago Silva,7.01
Abdoulaye Doucouré,7.01
Leandro Trossard,7.01
Jordan Ayew,7.00
Gabriel Jesus,7.00
Joao Gomes,6.99
Enzo Fernández,6.99
Willian,6.99
Richarlison,6.99
