Player,Salary
Rodri,"""13764697"", ""€ "", 0"
Bukayo Saka,"""12200527"", ""€ "", 0"
Phil Foden,"""14077531"", ""€ "", 0"
Bruno Fernandes,"""15016033"", ""€ "", 0"
Cole Palmer,"""5005344"", ""€ "", 0"
Michael Olise,"""6256681"", ""€ "", 0"
Declan Rice,"""15016033"", ""€ "", 0"
Bruno Guimaraes,Not Found
Erling Haaland,"""23462552"", ""€ "", 0"
Mohamed Salah,"""21898382"", ""€ "", 0"
Martin Ødegaard,"""15016033"", ""€ "", 0"
Eberechi Eze,"""6256681"", ""€ "", 0"
James Maddison,"""10636357"", ""€ "", 0"
Bernardo Silva,"""18770042"", ""€ "", 0"
Trent Alexander-Arnold,"""11262025"", ""€ "", 0"
Josko Gvardiol,"""12513361"", ""€ "", 0"
Anthony Gordon,"""3754008"", ""€ "", 0"
Alexis Mac Allister,"""9385021"", ""€ "", 0"
Conor Gallagher,"""3128340"", ""€ "", 0"
Heung-Min Son,Not Found
Andrew Robertson,"""10010689"", ""€ "", 0"
Julián Álvarez,"""6256681"", ""€ "", 0"
Pascal Gross,Not Found
Ollie Watkins,"""8133685"", ""€ "", 0"
Mohammed Kudus,"""5631013"", ""€ "", 0"
Virgil van Dijk,"""13764697"", ""€ "", 0"
Pedro Porro,"""5318178"", ""€ "", 0"
James Ward-Prowse,"""7195183"", ""€ "", 0"
Alexander Isak,"""7508017"", ""€ "", 0"
Kyle Walker,"""10949191"", ""€ "", 0"
Kieran Trippier,"""7508017"", ""€ "", 0"
Cristian Romero,"""10323523"", ""€ "", 0"
Ross Barkley,"""1877004"", ""€ "", 0"
Jérémy Doku,"""3128340"", ""€ "", 0"
Manuel Akanji,"""11262025"", ""€ "", 0"
Lucas Paquetá,"""9385021"", ""€ "", 0"
Luis Diaz,Not Found
Pedro Neto,"""3128340"", ""€ "", 0"
Kai Havertz,"""17518706"", ""€ "", 0"
Matheus Cunha,"""3754008"", ""€ "", 0"
Dominik Szoboszlai,"""7508017"", ""€ "", 0"
Ben White,"""9385021"", ""€ "", 0"
Douglas Luiz,"""4692510"", ""€ "", 0"
Nathan Aké,"""10010689"", ""€ "", 0"
William Saliba,"""11887693"", ""€ "", 0"
Christian Nørgaard,"""2189838"", ""€ "", 0"
Diogo Jota,"""8759353"", ""€ "", 0"
Jarrod Bowen,"""9385021"", ""€ "", 0"
Morgan Gibbs-White,"""5005344"", ""€ "", 0"
Idrissa Gana Gueye,Not Found
Bryan Mbeumo,"""2815506"", ""€ "", 0"
Kaoru Mitoma,"""5005344"", ""€ "", 0"
Gabriel,"""16580203"", ""€ "", 0"
Oleksandr Zinchenko,"""9385021"", ""€ "", 0"
Diogo Dalot,"""5318178"", ""€ "", 0"
Marcos Senesi,"""3128340"", ""€ "", 0"
John McGinn,"""7508017"", ""€ "", 0"
Mario Lemina,"""2815506"", ""€ "", 0"
Harry Maguire,"""11887693"", ""€ "", 0"
Nicolas Jackson,"""4066842"", ""€ "", 0"
Antonee Robinson,"""3128340"", ""€ "", 0"
Alfie Doughty,"""469251"", ""€ "", 0"
Ibrahima Konaté,"""4379676"", ""€ "", 0"
Casemiro,"""21898382"", ""€ "", 0"
Dwight McNeil,"""1564170"", ""€ "", 0"
Darwin Nunez,Not Found
Jefferson Lerma,"""4379676"", ""€ "", 0"
Joao Palhinha,Not Found
James Garner,"""1877004"", ""€ "", 0"
